Iteration;real reward;Average (50 iters);Std;Niederwert;Hochwert
109;-36.08291772;-32.20325967;5.638700971;-37.84196064;-26.5645587
110;-60.13161938;-31.43629749;5.446869925;-36.88316742;-25.98942757
111;-11.95689595;-31.44960581;5.238344984;-36.68795079;-26.21126082
112;-20.42880289;-31.01293394;5.022601513;-36.03553545;-25.99033242
113;-17.63355333;-31.70934446;4.812497115;-36.52184157;-26.89684734
114;-36.34955296;-31.44272174;4.614023958;-36.0567457;-26.82869779
115;-33.58496069;-31.27234249;4.397612799;-35.66995528;-26.87472969
116;-6.561300635;-31.25458814;4.165362855;-35.41995099;-27.08922528
117;-38.25569588;-31.21666689;3.963128908;-35.1797958;-27.25353798
118;-3.088102301;-31.00146996;3.735758541;-34.7372285;-27.26571141
119;-12.30591032;-30.4433454;3.528587494;-33.97193289;-26.9147579
120;-36.91342929;-29.77357893;3.330232465;-33.1038114;-26.44334647
121;-9.848902793;-28.78725365;3.120807944;-31.90806159;-25.66644571
122;-5.902581382;-28.63368903;2.92243491;-31.55612394;-25.71125412
123;-4.871668443;-28.29749452;2.769518341;-31.06701286;-25.52797618
124;-30.00606429;-28.87059759;2.631855411;-31.502453;-26.23874217
125;-13.65209154;-27.82425034;2.500418848;-30.32466919;-25.32383149
126;-12.40745283;-27.76785774;2.379218787;-30.14707653;-25.38863896
127;-24.65916788;-27.37226442;2.254559686;-29.6268241;-25.11770473
128;-17.24267506;-26.556813;2.163057513;-28.71987051;-24.39375548
129;-18.77118736;-26.17707017;2.092146582;-28.26921675;-24.08492358
130;-26.57984108;-26.74568932;2.01209919;-28.75778851;-24.73359013
131;-14.92724967;-27.4515433;1.958468659;-29.41001196;-25.49307464
132;-46.15697685;-27.78348377;1.918010271;-29.70149404;-25.8654735
133;-42.36612311;-28.35363336;1.879794795;-30.23342815;-26.47383856
134;-33.63056232;-28.96394132;1.878495468;-30.84243679;-27.08544585
135;-25.26794958;-28.58674581;1.925637717;-30.51238353;-26.66110809
136;-30.22288843;-27.88577434;2.013944372;-29.89971871;-25.87182997
137;-30.04737772;-28.17765059;2.109475191;-30.28712578;-26.0681754
138;-48.64196158;-28.26780597;2.233802445;-30.50160841;-26.03400352
139;-26.75921264;-28.21539805;2.360226234;-30.57562429;-25.85517182
140;-51.12408384;-27.9008913;2.482789649;-30.38368095;-25.41810165
141;-34.04999316;-27.63333869;2.633873307;-30.267212;-24.99946538
142;-42.49789651;-27.7446419;2.810411627;-30.55505352;-24.93423027
143;-32.42277655;-27.19399845;2.975821907;-30.16982036;-24.21817654
144;-8.383124696;-27.31619342;3.176091407;-30.49228483;-24.14010202
145;-13.19766159;-27.21029466;3.352163083;-30.56245774;-23.85813158
146;-8.791199449;-27.17849917;3.49762514;-30.67612431;-23.68087403
147;-52.76407129;-27.5214533;3.643472726;-31.16492602;-23.87798057
148;-21.33064415;-27.70427636;3.819108015;-31.52338437;-23.88516834
149;-57.06955469;-28.02843244;3.984533012;-32.01296546;-24.04389943
150;-25.20286346;-27.60692499;4.174401029;-31.78132602;-23.43252396
151;-27.32883967;-27.47195895;4.400024621;-31.87198357;-23.07193433
152;-39.87477043;-27.28025552;4.615670765;-31.89592628;-22.66458475
153;-14.68221159;-26.70874313;4.8551379;-31.56388103;-21.85360523
154;1.727585214;-26.77045601;5.079075396;-31.8495314;-21.69138061
155;-45.45830186;-26.51011457;5.303929423;-31.81404399;-21.20618514
156;-62.77767994;-25.86319479;5.539658866;-31.40285366;-20.32353593
157;-56.80685732;-25.55141748;5.763844259;-31.31526174;-19.78757322
158;-52.87053132;-25.00038797;5.978764337;-30.9791523;-19.02162363
159;-57.00085517;-24.11758481;6.224338204;-30.34192302;-17.89324661
160;-16.84594668;-23.2203674;6.487787022;-29.70815442;-16.73258038
161;-24.38207422;-22.65612126;6.721872072;-29.37799333;-15.93424919
162;-26.84258477;-22.15125843;6.944733331;-29.09599176;-15.2065251
163;-25.02672733;-21.49929342;7.148516056;-28.64780948;-14.35077736
164;-14.96074956;-20.61849038;7.353321004;-27.97181139;-13.26516938
165;-20.30970868;-20.38515124;7.544227265;-27.92937851;-12.84092398
166;-19.93977741;-19.50683363;7.731729296;-27.23856292;-11.77510433
167;-12.23776429;-18.5479702;7.896498682;-26.44446889;-10.65147152
168;-10.17288003;-18.1897426;8.052757861;-26.24250046;-10.13698474
169;-9.320046046;-17.11474021;8.216709368;-25.33144958;-8.898030843
170;-6.905073383;-17.22845893;8.355070775;-25.5835297;-8.873388154
171;-35.29185946;-17.64328916;8.471839462;-26.11512863;-9.171449703
172;-27.33956299;-17.61754509;8.572732232;-26.19027732;-9.044812854
173;-15.22655746;-16.55278535;8.647727895;-25.20051325;-7.905057458
174;-21.40362883;-16.41273372;8.697465412;-25.11019913;-7.715268303
175;-8.509184314;-15.13081203;8.71492373;-23.84573576;-6.415888299
176;-6.768823214;-14.18544246;8.73509099;-22.92053345;-5.450351471
177;-2.630578024;-13.82245011;8.746621093;-22.5690712;-5.075829018
178;4.487963716;-12.83160583;8.704404993;-21.53601083;-4.12720084
179;-20.39003162;-12.80334217;8.645234853;-21.44857702;-4.158107315
180;-5.493773763;-12.31067578;8.573583779;-20.88425956;-3.737092005
181;6.413067272;-11.30730256;8.487812745;-19.7951153;-2.819489813
182;0.97339338;-10.68960228;8.387869874;-19.07747215;-2.301732403
183;-18.05447172;-10.10395481;8.267608761;-18.37156357;-1.836346046
184;2.65683776;-8.417683218;8.141599615;-16.55928283;-0.276083603
185;12.12752572;-6.907952119;8.008491098;-14.91644322;1.100538979
186;3.508603678;-6.892570445;7.875178393;-14.76774884;0.982607949
187;-4.474884144;-6.693411868;7.739877688;-14.43328956;1.04646582
188;3.202837654;-6.205651567;7.596581799;-13.80223337;1.390930232
189;-3.721006623;-5.303287769;7.447755047;-12.75104282;2.144467278
190;-14.85891648;-4.832162878;7.303507293;-12.13567017;2.471344415
191;-6.32988549;-4.25038028;7.160211743;-11.41059202;2.909831463
192;14.85204142;-4.163533453;7.03067164;-11.19420509;2.867138188
193;-24.22828855;-3.468803296;6.913208002;-10.3820113;3.444404707
194;22.40234513;-2.742627689;6.813385903;-9.556013592;4.070758214
195;-14.1827793;-2.490702141;6.726132672;-9.216834812;4.235430531
196;-34.35400362;-2.296092533;6.621870425;-8.917962958;4.325777891
197;-7.478251426;-1.887000171;6.474854912;-8.361855083;4.587854741
198;1.538675082;-1.459175032;6.291313963;-7.750488995;4.832138931
199;-14.18801064;-1.099949606;6.125544861;-7.225494468;5.025595255
200;8.308451325;-0.783406036;5.940340428;-6.723746463;5.156934392
201;23.01098449;-0.04971897;5.790514619;-5.840233588;5.740795649
202;-8.816229776;0.626757762;5.616886264;-4.990128502;6.243644026
203;10.65828777;-0.202066426;5.444253728;-5.646320154;5.242187303
204;-13.24076467;-0.308940499;5.283619854;-5.592560353;4.974679355
205;26.85357075;0.485924684;5.098842564;-4.612917881;5.584767248
206;5.713732673;0.890143065;4.897693614;-4.007550549;5.787836679
207;-31.27496564;0.812602387;4.729578144;-3.916975756;5.542180531
208;-26.93883632;0.921062361;4.57360688;-3.652544519;5.494669241
209;33.1293197;1.248269533;4.432051632;-3.183782098;5.680321165
210;19.99543088;1.039545016;4.341468949;-3.301923933;5.381013966
211;-16.06148127;1.01472283;4.2828528;-3.268129969;5.29757563
212;-14.2249868;1.36836763;4.203468785;-2.835101156;5.571836415
213;-1.966809416;1.56297559;4.119862792;-2.556887202;5.682838383
214;20.99382636;1.620846168;4.054180761;-2.433334593;5.675026929
215;9.066619869;1.70797235;4.005256777;-2.297284428;5.713229127
216;9.361203848;2.62529327;3.957816171;-1.332522901;6.583109441
217;-15.51058925;3.07404775;3.92143094;-0.84738319;6.995478691
218;23.19347373;3.310373466;3.873411326;-0.563037859;7.183784792
219;26.86207593;4.562281578;3.812301966;0.749979612;8.374583544
220;3.528156896;4.65865853;3.747562205;0.911096325;8.406220735
221;3.020016595;5.258678329;3.668529914;1.590148415;8.927208243
222;-14.42814897;5.503569778;3.58839404;1.915175737;9.091963818
223;-5.520480923;5.468833004;3.531844994;1.936988009;9.000677998
224;3.093939252;5.755441961;3.494899878;2.260542083;9.25034184
225;-5.259906737;6.158555125;3.443964004;2.714591122;9.602519129
226;28.90885606;6.66482512;3.394168276;3.270656844;10.0589934
227;27.73149009;5.546911098;3.346400142;2.200510956;8.89331124
228;-44.90061158;6.218558987;3.316016783;2.902542205;9.53457577
229;-0.96261401;6.241041132;3.261931426;2.979109707;9.502972558
230;20.14809268;6.518900703;3.19125545;3.327645252;9.710156153
231;15.12136368;6.346465077;3.130297184;3.216167893;9.47676226
232;2.458492705;7.049132796;3.06776345;3.981369346;10.11689625
233;6.504852042;7.589106689;2.984467023;4.604639666;10.57357371
234;-1.366905927;8.209671809;2.894866726;5.314805083;11.10453853
235;-7.988112607;8.316509638;2.803951413;5.512558225;11.12046105
236;10.86159423;8.122515344;2.699060731;5.423454614;10.82157608
237;21.54448845;8.137043472;2.578943108;5.558100365;10.71598658
238;5.450121846;8.477804375;2.455094354;6.022710021;10.93289873
239;6.154237131;9.131367751;2.332805466;6.798562285;11.46417322
240;0.722428618;9.205708864;2.194528484;7.01118038;11.40023735
241;31.92445046;9.320785377;2.042812054;7.277973323;11.36359743
242;16.55659302;9.586472329;1.919447699;7.667024629;11.50592003
243;26.90465293;9.732568125;1.798117215;7.93445091;11.53068534
244;39.61902515;9.021962308;1.664561028;7.35740128;10.68652334
245;27.31756966;8.454922795;1.580113039;6.874809756;10.03503583
246;16.41823046;8.028238389;1.487809836;6.540428553;9.516048225
247;-21.86453971;8.285441731;1.416593474;6.868848257;9.702035206
248;-9.249826919;9.240735975;1.351972895;7.88876308;10.59270887
249;16.15573193;9.923079737;1.276607763;8.646471974;11.1996875
250;6.370760721;9.461220586;1.207823684;8.253396902;10.66904427
251;34.12822105;9.586571659;1.151430718;8.435140941;10.73800238
252;-34.00263062;9.122696921;1.122025724;8.000671197;10.24472265
253;25.43781257;9.399545721;1.022861542;8.376684178;10.42240726
254;11.80487715;10.01299739;0.95442687;9.058570521;10.96742426
255;0.930073425;10.06728192;0.882045672;9.18523625;10.94932759
256;18.05935383;9.783632778;0.823267134;8.960365645;10.60689991
257;41.54978634;9.572101013;0.745989218;8.826111795;10.31809023
258;-3.736297059;9.217986388;0.724548411;8.493437977;9.942534798
259;4.709984782;9.289980157;0.729336017;8.56064414;10.01931617
260;38.57804898;9.151146076;0.748534878;8.402611198;9.899680954
261;10.10172192;9.581666154;0.796797299;8.784868855;10.37846345
262;-15.32054675;9.651905593;0.845901245;8.806004347;10.49780684
263;3.153819208;9.427858963;0.874329821;8.553529143;10.30218878
264;31.36492278;9.9198543;0.90720013;9.01265417;10.82705443
265;24.78522311;9.92017188;0.970583524;8.949588355;10.8907554
266;14.93552204;10.10306721;1.052184761;9.050882452;11.15525197
267;22.91123841;10.0183882;1.142542822;8.875845375;11.16093102
268;-8.059703643;9.798318408;1.281921678;8.51639673;11.08024009
269;-13.04742292;9.313885228;1.378182065;7.935703163;10.69206729
270;-2.056939239;9.103352255;1.460461415;7.64289084;10.56381367
271;-18.23274781;8.356100543;1.543503084;6.812597458;9.899603627
272;16.13738703;8.202238441;1.613538942;6.588699499;9.815777384
273;34.29185748;9.139668058;1.700313725;7.439354333;10.83998178
274;29.27905091;8.770936497;1.811346786;6.95958971;10.58228328
275;-20.46087744;8.82902823;1.946765048;6.882263182;10.77579328
276;1.132997972;8.756602384;2.053786953;6.702815432;10.81038934
277;5.251244462;7.722639066;2.159373732;5.563265334;9.882012798
278;41.85077885;8.614627378;2.284450538;6.33017684;10.89907792
279;-13.61457642;8.375772853;2.429115336;5.946657517;10.80488819
280;1.805897063;8.230961909;2.541021964;5.689939946;10.77198387
281;5.681986374;8.017761475;2.657154086;5.360607389;10.67491556
282;4.333243679;8.061514764;2.760468446;5.301046318;10.82198321
283;-15.6013532;7.509028652;2.859910996;4.649117656;10.36893965
284;10.17653425;7.470453828;2.943379269;4.527074559;10.4138331
285;-8.447444048;7.565568507;3.025294657;4.54027385;10.59086316
286;13.96841139;6.930659936;3.090001645;3.840658291;10.02066158
287;14.44380559;6.773078254;3.15171366;3.621364594;9.924791914
288;10.11811035;7.170938364;3.215719685;3.955218679;10.38665805
289;30.54188401;7.135148733;3.289774465;3.845374269;10.4249232
290;6.170433694;6.402061656;3.379620284;3.022441372;9.78168194
291;10.05009064;5.896082442;3.465550776;2.430531666;9.361633219
292;27.60582062;5.523842089;3.538044077;1.985798012;9.061886166
293;5.333033814;4.422202685;3.613512255;0.808690431;8.03571494
294;2.198560738;4.769535726;3.681885197;1.087650529;8.451420922
295;28.88184352;4.988286836;3.753452294;1.234834542;8.74173913
296;-10.79226766;4.845248352;3.854461841;0.990786511;8.699710193
297;8.571263287;4.975368007;3.955538933;1.019829074;8.930906939
298;25.94437076;4.452898577;4.062449976;0.390448601;8.515348554
299;-28.05513656;3.604513681;4.139175094;-0.534661413;7.743688775
300;19.11841034;2.63588236;4.192062407;-1.556180047;6.827944766
301;2.677042582;3.004565291;4.246224876;-1.241659585;7.250790168
302;-18.60390821;2.702250279;4.306047675;-1.603797396;7.008297954
303;11.48877332;2.143332968;4.368021974;-2.224689006;6.511354942
304;13.25623177;1.328816159;4.393380466;-3.064564307;5.722196625
305;4.419519046;1.3881062;4.419073863;-3.030967663;5.807180063
306;-9.943148716;0.91249264;4.424547148;-3.512054508;5.337039789
307;20.29077156;0.966693671;4.402282212;-3.435588542;5.368975883
308;13.37299462;0.81618328;4.363267643;-3.547084363;5.179450923
309;-5.703613089;1.061059204;4.3193617;-3.258302495;5.380420904
310;9.560833399;0.763904726;4.268750089;-3.504845363;5.032654815
311;6.197711896;1.012274538;4.197225153;-3.184950615;5.209499692
312;2.065056119;0.54472499;4.134495589;-3.589770599;4.679220579
313;4.970318842;0.106498333;4.067981499;-3.961483166;4.174479832
314;1.328548059;-0.37197221;3.96311047;-4.33508268;3.59113826
315;-6.022518173;-1.455079707;3.835226518;-5.290306225;2.380146811
316;-1.019716769;-1.786350459;3.70887993;-5.495230389;1.922529472
317;-4.04873597;-2.018420325;3.585034775;-5.6034551;1.566614451
318;-33.2723712;-2.481171268;3.459829618;-5.941000887;0.97865835
319;9.654281413;-2.601710013;3.365339289;-5.967049302;0.763629276
320;-1.891116278;-2.785343308;3.252781298;-6.038124606;0.46743799
321;-9.351901918;-3.836224576;3.122992567;-6.959217144;-0.713232009
322;-11.59664544;-3.84698154;2.998984058;-6.845965598;-0.847997482
323;-10.50855387;-4.356880075;2.870567983;-7.227448058;-1.486312092
324;-8.975772211;-4.67611954;2.762472806;-7.438592346;-1.913646734
325;-20.12114649;-4.248372105;2.705089307;-6.953461411;-1.543282798
326;-1.658047934;-4.812257192;2.710269124;-7.522526315;-2.101988068
327;-14.28506766;-5.415063924;2.722822493;-8.137886417;-2.692241431
328;-23.25353839;-5.188812647;2.750106375;-7.938919022;-2.438706272
329;0.310421589;-5.322552584;2.827384423;-8.149937007;-2.495168162
330;-10.59078434;-5.642382111;2.926039803;-8.568421914;-2.716342307
331;-22.45039446;-5.409722912;3.055356079;-8.465078991;-2.354366833
332;8.446238909;-4.768780969;3.185324224;-7.954105193;-1.583456745
333;-3.342786236;-4.748037626;3.316686146;-8.064723771;-1.43135148
334;-3.112681064;-4.417209759;3.453096898;-7.870306657;-0.964112861
335;-4.978344134;-4.656364021;3.608020165;-8.264384186;-1.048343856
336;4.219416374;-4.51119798;3.792746923;-8.303944903;-0.718451056
337;-9.876615565;-4.574277402;3.992864821;-8.567142223;-0.581412582
338;-7.905753921;-4.778735562;4.183144644;-8.961880206;-0.595590918
339;-14.28388735;-4.327723565;4.37569438;-8.703417945;0.047970815
340;-24.69659832;-3.860315353;4.591392041;-8.451707394;0.731076689
341;-10.72437465;-2.984553595;4.831136738;-7.815690333;1.846583143
342;-1.78547254;-2.572881626;5.058006547;-7.630888173;2.485124922
343;4.005522496;-1.925592136;5.291875883;-7.217468019;3.366283747
344;-0.814442187;-0.718587789;5.52244226;-6.24103005;4.803854471
345;-7.166737274;-0.574971386;5.756263803;-6.331235189;5.181292416
346;-24.71310119;-0.68231173;5.981437565;-6.663749295;5.299125835
347;-11.34087282;0.281989123;6.198541711;-5.916552588;6.480530834
348;-17.43356199;0.890896104;6.405822761;-5.514926657;7.296718864
